Date / Time,City,State,Shape,Duration,Summary,Posted
6/16/16 22:10,Hopkinsville,KY,Fireball,5 minutes,"((HOAX??)) Large fireball reddish/orange color flying obj. going very slow, maybe about 250' up in air going NE. ((anonymous report))",42545
6/14/16 21:10,Pittsburgh,PA,Fireball,40 seconds,"Orange, slow moving, maneuvering ""plasma-like"" fireball object. Deliberate direction change. Low altitude.",42537
6/12/16 21:15,Palo Alto,CA,Fireball,5 minutes,MULTIPLE ORANGE FUZZY LIGHTS IN PALO ALTO.,42537
6/11/16 23:15,West Bangor,PA,Fireball,5 minutes,Red/orange fireball circle closer to ground for 2 minutes. Quickly raised up and went up and to the right quickly and vanished. Within,42537
6/11/16 23:00,Bloomsburg,PA,Fireball,2-3 minutes,"Glowing orange brilliant orb seen over Bloomsburg, PA.",42537
6/11/16 22:00,Laguna Niguel,CA,Fireball,3 minutes,4 Orange fire orbs in the sky.,42537
6/10/16 22:30,Occoquan,VA,Fireball,5 minutes,"Very slow moving single fireball falling from high in sky. Was triangular in shape, definitely flames.",42537
6/10/16 22:05,Indian Trail,NC,Fireball,10 seconds,"Flying down from sky, green/red firelike object. 10:05 pm.",42537
6/10/16 22:00,Greensboro,NC,Fireball,5 seconds,A green unknown shaped aircraft came crashing down from the sky. It appeared to be blowing up as it was coming down.,42537
6/7/16 21:39,Long Beach,CA,Fireball,2 minutes,Fireballs in the SoCal night sky.,42531
6/6/16 23:45,Columbus,OH,Fireball,Seconds,Large green fireball. ((NUFORC Note: Possible meteor?? Anonymous report. PD)),42531
6/6/16 08:38,Godfrey,IL,Fireball,3-4 seconds,Saw the light falling from the sky very quickly and disappear before hitting ground. ((NUFORC Note: Meteor? Anonymous report. PD)),42531
6/4/16 21:20,Orlando,,Fireball,3-4 minutes,Silent orange fireballs over east Orlando,42531
6/4/16 20:30,Cliffdell,WA,Fireball,1.5 hours,Reddish orange and whitish fireballs.,42531
6/4/16 20:30,Cliffdell,WA,Fireball,1.5 hours,Reddish orange and whitish fireballs with lights inside of them by our campsite.,42531
6/3/16 21:30,Myrtle Beach,SC,Fireball,4-5 minutes,"Burning object with comet like tail failing from sky it then disappeared, then Reappeared looked as if if remained stationary for about",42531
6/2/16 04:00,Phoenix,AZ,Fireball,3 seconds,"Gigantic fireball lit up the night sky just like it was daylight. E sky, N Phoenix. Huge contrail was left in the sky. ((meteor??))",42524
6/2/16 03:55,Las Vegas,NV,Fireball,5 seconds,Large fireball with long tail traveling north to south s.e. of Vegas. ((NUFORC Note: Reported to have been a meteor. PD)),42524
6/2/16 03:45,Tempe,AZ,Fireball,30 minutes,Bright flash followed by fireball falling from sky seen over PHX INT airport restricted air space. ((NUFORC Note: Meteor?? PD)),42524
5/30/16 00:00,Auburn,WA,Fireball,2 minutes,Fireball changing directions over Auburn.,42522
5/28/16 21:02,Brigantine,NJ,Fireball,~30 seconds,"Low flying fireball with very clear visible flames, heading north.",42522
5/27/16 23:52,Milliken,CO,Fireball,1 minute,"Light orange/white/yellow 'Fireball' sighting in Milliken, CO.",42522
5/26/16 22:15,Franklinton,NC,Fireball,20 seconds,Ball of fire falling westward from the sky.,42522
